           0.071 ( 0.448 %)	           0.276 ( 6.590 %)	           1.269 (40.103 %)	           0.022 ( 0.979 %)	           0.036 ( 0.970 %)
           0.067 ( 0.328 %)	           0.165 ( 3.625 %)	           0.102 ( 3.527 %)	           0.021 ( 0.810 %)	           0.093 ( 2.509 %)
           0.067 ( 0.435 %)	           0.183 ( 4.016 %)	           2.493 (74.856 %)	           0.030 ( 1.358 %)	           0.053 ( 1.431 %)
          13.967 (74.348 %)	           0.260 ( 6.095 %)	           0.120 ( 3.770 %)	           0.013 ( 0.608 %)	           0.057 ( 1.525 %)
           0.056 ( 0.363 %)	           0.277 ( 6.445 %)	           0.097 ( 3.001 %)	           0.032 ( 1.406 %)	           0.043 ( 1.134 %)
           0.061 ( 0.384 %)	           0.141 ( 3.368 %)	           0.118 ( 3.815 %)	           0.032 ( 1.390 %)	           0.043 ( 0.869 %)
           0.047 ( 0.297 %)	           0.198 ( 4.774 %)	           0.102 ( 3.396 %)	           0.034 ( 1.484 %)	           0.053 ( 1.409 %)
           0.076 ( 0.491 %)	           0.145 ( 3.582 %)	           0.041 ( 1.401 %)	           0.033 ( 1.434 %)	           0.028 ( 0.756 %)
           0.073 ( 0.479 %)	           0.131 ( 3.158 %)	           0.100 ( 3.402 %)	           0.016 ( 0.705 %)	           2.538 (60.401 %)
           0.067 ( 0.438 %)	           0.201 ( 5.031 %)	           0.109 ( 3.728 %)	           0.034 ( 1.490 %)	           0.070 ( 1.799 %)
           0.046 ( 0.300 %)	           0.297 ( 6.832 %)	           0.102 ( 3.528 %)	           0.030 ( 1.161 %)	           0.068 ( 1.781 %)
           0.053 ( 0.347 %)	           0.200 ( 5.001 %)	           0.103 ( 3.582 %)	           0.031 ( 1.350 %)	           0.068 ( 1.716 %)
           0.044 ( 0.287 %)	           0.235 ( 5.646 %)	           0.033 ( 1.170 %)	           0.033 ( 1.272 %)	           0.083 ( 2.131 %)
           0.068 ( 0.439 %)	           0.112 ( 2.650 %)	           0.109 ( 3.735 %)	           0.021 ( 0.943 %)	           0.046 ( 1.209 %)
           0.059 ( 0.388 %)	           0.249 ( 5.956 %)	           0.104 ( 3.601 %)	           0.033 ( 1.468 %)	           0.053 ( 1.220 %)
           0.045 ( 0.295 %)	           0.264 ( 5.783 %)	           0.113 ( 3.456 %)	           0.035 ( 1.206 %)	           0.067 ( 1.745 %)
           0.070 ( 0.392 %)	           0.223 ( 5.504 %)	           0.031 ( 1.128 %)	           0.021 ( 0.834 %)	           0.066 ( 1.671 %)
           0.820 ( 5.296 %)	           0.241 ( 5.786 %)	           0.109 ( 3.726 %)	           0.024 ( 0.925 %)	           0.067 ( 1.733 %)
           0.045 ( 0.289 %)	           0.317 ( 7.232 %)	           0.035 ( 1.219 %)	           0.017 ( 0.785 %)	           0.081 ( 1.840 %)
           0.063 ( 0.410 %)	           0.291 ( 6.599 %)	           0.108 ( 3.692 %)	           0.016 ( 0.721 %)	           0.044 ( 1.156 %)
           0.054 ( 0.352 %)	           0.282 ( 6.401 %)	           0.112 ( 3.866 %)	           0.031 ( 1.385 %)	           0.071 ( 1.843 %)
           0.069 ( 0.449 %)	           0.205 ( 4.987 %)	           0.108 ( 3.659 %)	           0.037 ( 1.639 %)	           2.554 (59.508 %)
           0.060 ( 0.395 %)	           0.383 ( 7.729 %)	           0.103 ( 3.591 %)	           0.031 ( 1.377 %)	           0.052 ( 1.321 %)
           2.478 (15.374 %)	           0.120 ( 2.984 %)	           0.121 ( 3.662 %)	           0.051 ( 2.300 %)	           0.119 ( 3.104 %)
           0.062 ( 0.392 %)	           0.225 ( 5.456 %)	           0.104 ( 3.610 %)	           0.031 ( 1.377 %)	           0.062 ( 1.610 %)
           0.037 ( 0.240 %)	           0.178 ( 4.321 %)	           0.101 ( 3.497 %)	           0.014 ( 0.649 %)	           0.040 ( 0.939 %)
           0.065 ( 0.424 %)	           4.279 (78.605 %)	           0.108 ( 3.679 %)	           0.814 (30.541 %)	           0.049 ( 1.275 %)
           0.061 ( 0.397 %)	           0.194 ( 4.906 %)	           0.101 ( 3.540 %)	           0.038 ( 1.650 %)	           0.088 ( 2.257 %)
           0.078 ( 0.508 %)	           2.593 (59.214 %)	           0.110 ( 3.750 %)	           0.038 ( 1.650 %)	           0.074 ( 1.895 %)
           0.054 ( 0.349 %)	           0.065 ( 1.527 %)	           0.087 ( 3.024 %)	           0.036 ( 1.556 %)	           0.039 ( 1.020 %)
           0.039 ( 0.255 %)	           0.169 ( 3.775 %)	           0.104 ( 3.636 %)	           0.020 ( 0.865 %)	           0.055 ( 1.120 %)
           0.073 ( 0.475 %)	           0.326 ( 7.774 %)	           0.097 ( 3.446 %)	           0.031 ( 1.364 %)	           0.083 ( 2.126 %)
           0.057 ( 0.369 %)	           1.165 (26.610 %)	           0.029 ( 1.063 %)	           0.031 ( 1.392 %)	           0.034 ( 0.911 %)
           0.055 ( 0.362 %)	           0.195 ( 4.658 %)	           0.104 ( 3.531 %)	           0.016 ( 0.724 %)	           0.058 ( 1.349 %)
           0.058 ( 0.381 %)	           1.231 (28.456 %)	           0.101 ( 3.410 %)	           0.027 ( 1.182 %)	           0.048 ( 1.281 %)
           0.052 ( 0.337 %)	           0.195 ( 4.728 %)	           0.102 ( 3.526 %)	           0.031 ( 1.350 %)	           0.060 ( 1.610 %)
           0.059 ( 0.386 %)	           9.699 (152.287 %)	           0.091 ( 3.178 %)	           0.028 ( 1.233 %)	           0.057 ( 1.277 %)
