           0.022 ( 0.149 %)	           0.008 ( 0.171 %)	           0.007 ( 0.163 %)	           0.008 ( 0.177 %)	           0.010 ( 0.286 %)
          10.979 (57.992 %)	           0.009 ( 0.214 %)	           0.010 ( 0.219 %)	           0.010 ( 0.190 %)	           0.033 ( 0.964 %)
           0.020 ( 0.136 %)	           0.009 ( 0.197 %)	           0.012 ( 0.228 %)	           0.007 ( 0.157 %)	           0.012 ( 0.347 %)
           0.036 ( 0.235 %)	           0.007 ( 0.164 %)	           0.013 ( 0.248 %)	           0.007 ( 0.151 %)	           0.013 ( 0.383 %)
           0.026 ( 0.169 %)	           0.009 ( 0.232 %)	           0.009 ( 0.194 %)	           0.009 ( 0.208 %)	           0.009 ( 0.258 %)
           0.026 ( 0.176 %)	           0.007 ( 0.184 %)	           0.007 ( 0.162 %)	           0.009 ( 0.209 %)	           0.012 ( 0.303 %)
           2.770 (17.590 %)	           0.010 ( 0.234 %)	           0.011 ( 0.237 %)	           0.009 ( 0.215 %)	           0.008 ( 0.232 %)
           0.022 ( 0.151 %)	           0.008 ( 0.206 %)	           0.009 ( 0.195 %)	           0.010 ( 0.222 %)	           0.026 ( 0.784 %)
           0.026 ( 0.175 %)	           0.008 ( 0.215 %)	           0.009 ( 0.204 %)	           0.019 ( 0.323 %)	           0.011 ( 0.346 %)
           0.030 ( 0.203 %)	           0.008 ( 0.203 %)	           0.008 ( 0.178 %)	           0.011 ( 0.239 %)	           0.012 ( 0.370 %)
           0.033 ( 0.224 %)	           0.006 ( 0.163 %)	           0.010 ( 0.236 %)	           0.010 ( 0.215 %)	           0.010 ( 0.256 %)
           8.673 (46.183 %)	           0.006 ( 0.157 %)	           0.011 ( 0.252 %)	           0.007 ( 0.154 %)	           1.130 (31.464 %)
           0.029 ( 0.171 %)	           0.009 ( 0.235 %)	           1.383 (29.096 %)	           0.009 ( 0.198 %)	           0.014 ( 0.412 %)
           0.119 ( 0.695 %)	           0.009 ( 0.236 %)	           5.423 (77.463 %)	           0.009 ( 0.177 %)	           0.023 ( 0.595 %)
           0.034 ( 0.230 %)	           0.008 ( 0.198 %)	           0.009 ( 0.206 %)	           0.009 ( 0.194 %)	           0.008 ( 0.226 %)
           0.032 ( 0.214 %)	           0.010 ( 0.269 %)	           0.011 ( 0.252 %)	           0.008 ( 0.170 %)	           0.008 ( 0.245 %)
           0.025 ( 0.171 %)	           0.008 ( 0.189 %)	           0.009 ( 0.193 %)	           0.014 ( 0.309 %)	           0.010 ( 0.308 %)
           0.021 ( 0.131 %)	           0.008 ( 0.207 %)	           0.009 ( 0.197 %)	           0.007 ( 0.159 %)	           0.008 ( 0.240 %)
           0.063 ( 0.429 %)	           0.008 ( 0.192 %)	           0.008 ( 0.178 %)	           0.008 ( 0.178 %)	           0.011 ( 0.310 %)
          12.048 (65.282 %)	           0.008 ( 0.215 %)	           0.185 ( 3.972 %)	           0.010 ( 0.218 %)	           0.010 ( 0.281 %)
           0.068 ( 0.397 %)	           0.008 ( 0.205 %)	           0.023 ( 0.519 %)	           0.009 ( 0.193 %)	           0.010 ( 0.297 %)
          10.485 (56.162 %)	           0.008 ( 0.203 %)	           0.010 ( 0.226 %)	           0.007 ( 0.154 %)	           0.011 ( 0.326 %)
           0.068 ( 0.458 %)	           0.008 ( 0.190 %)	           0.008 ( 0.179 %)	           0.022 ( 0.480 %)	           0.009 ( 0.250 %)
           7.045 (40.961 %)	           0.008 ( 0.207 %)	           0.012 ( 0.234 %)	           0.009 ( 0.215 %)	           0.008 ( 0.243 %)
           0.020 ( 0.133 %)	           0.008 ( 0.184 %)	           0.011 ( 0.235 %)	           0.007 ( 0.164 %)	           0.009 ( 0.276 %)
           0.028 ( 0.189 %)	           0.009 ( 0.217 %)	           0.009 ( 0.175 %)	           0.008 ( 0.191 %)	           0.009 ( 0.264 %)
