    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         378.745;           3.025;           3.299;           3.042;           0.047 ( 1.541 %);  20064.554
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          84.913;           3.022;           3.296;           3.041;           0.052 ( 1.701 %);  20067.552
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          97.891;           3.024;           3.299;           3.040;           0.047 ( 1.545 %);  20075.953
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         122.607;           3.022;           3.293;           3.040;           0.046 ( 1.529 %);  20077.354
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         177.457;           3.022;           3.304;           3.040;           0.048 ( 1.583 %);  20078.955
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         658.619;           3.022;           3.308;           3.040;           0.049 ( 1.609 %);  20079.155
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.263;           3.022;           3.304;           3.039;           0.048 ( 1.594 %);  20081.157
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        3331.567;           3.022;           3.296;           3.039;           0.047 ( 1.547 %);  20081.157
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          58.718;           3.023;           3.300;           3.039;           0.048 ( 1.563 %);  20081.758
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         201.080;           3.021;           3.306;           3.039;           0.048 ( 1.594 %);  20082.559
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         176.378;           3.021;           3.308;           3.039;           0.049 ( 1.604 %);  20083.360
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         119.942;           3.022;           3.297;           3.039;           0.047 ( 1.549 %);  20086.164
