     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          78.725;           3.570;           4.322;           3.650;           0.197 ( 5.407 %);  16722.099
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          67.818;           4.372;           4.424;           4.383;           0.009 ( 0.215 %);  13926.199
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         117.631;           3.659;           4.239;           3.927;           0.278 ( 7.076 %);  15543.038
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          54.984;           4.494;           4.561;           4.505;           0.012 ( 0.268 %);  13549.043
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          93.730;           3.672;           4.233;           4.131;           0.201 ( 4.863 %);  14775.669
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         503.319;           4.493;           4.655;           4.507;           0.027 ( 0.603 %);  13541.119
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          77.816;           3.665;           4.235;           4.161;           0.173 ( 4.157 %);  14669.562
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         383.986;           4.494;           4.632;           4.508;           0.023 ( 0.513 %);  13540.117
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          85.101;           3.671;           4.420;           4.213;           0.103 ( 2.453 %);  14486.817
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          89.814;           4.494;           4.546;           4.505;           0.010 ( 0.213 %);  13548.679
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         560.019;           3.562;           4.117;           3.902;           0.263 ( 6.743 %);  15640.682
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        3639.528;           4.373;           4.412;           4.384;           0.008 ( 0.186 %);  13923.696
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         143.051;           3.561;           4.389;           3.806;           0.285 ( 7.497 %);  16034.520
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         123.610;           4.371;           4.426;           4.383;           0.010 ( 0.223 %);  13924.755
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          57.329;           3.571;           4.121;           4.032;           0.186 ( 4.625 %);  15138.143
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          92.748;           4.372;           4.434;           4.383;           0.011 ( 0.249 %);  13926.488
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          88.846;           3.561;           4.327;           3.969;           0.251 ( 6.312 %);  15378.790
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          35.923;           4.371;           4.421;           4.384;           0.009 ( 0.215 %);  13923.023
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1653.400;           3.564;           4.120;           4.034;           0.185 ( 4.575 %);  15130.523
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         186.539;           4.372;           4.407;           4.382;           0.007 ( 0.165 %);  13927.548
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         245.196;           3.561;           4.116;           3.789;           0.264 ( 6.959 %);  16109.028
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          41.485;           4.372;           4.443;           4.384;           0.012 ( 0.283 %);  13922.253
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          41.342;           4.100;           4.312;           4.116;           0.036 ( 0.870 %);  14829.629
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          50.612;           4.372;           4.414;           4.383;           0.008 ( 0.187 %);  13926.488
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         140.531;           3.566;           4.125;           4.071;           0.131 ( 3.227 %);  14991.888
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         528.122;           4.372;           4.522;           4.386;           0.025 ( 0.571 %);  13916.000
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         764.890;           3.569;           4.118;           4.050;           0.164 ( 4.052 %);  15072.213
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         324.531;           4.372;           4.425;           4.383;           0.010 ( 0.219 %);  13925.429
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          64.520;           3.575;           4.120;           4.050;           0.163 ( 4.018 %);  15072.213
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         294.304;           4.372;           4.422;           4.383;           0.009 ( 0.210 %);  13926.970
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         140.970;           4.099;           4.318;           4.116;           0.037 ( 0.891 %);  14829.083
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          63.979;           4.372;           4.409;           4.383;           0.008 ( 0.184 %);  13924.370
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          47.892;           3.668;           4.227;           4.170;           0.150 ( 3.604 %);  14636.409
