     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         838.674;           3.665;           3.947;           3.687;           0.056 ( 1.528 %);  16554.560
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          78.338;           3.387;           3.427;           3.397;           0.008 ( 0.234 %);  17969.614
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          84.511;           3.661;           3.954;           3.685;           0.061 ( 1.646 %);  16561.910
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          70.925;           3.384;           3.427;           3.394;           0.008 ( 0.227 %);  17984.215
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          62.826;           3.563;           3.835;           3.586;           0.058 ( 1.609 %);  17020.832
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          73.859;           3.294;           3.353;           3.303;           0.010 ( 0.316 %);  18476.838
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          48.282;           3.562;           3.843;           3.585;           0.059 ( 1.636 %);  17023.134
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         275.363;           3.286;           3.353;           3.302;           0.011 ( 0.330 %);  18485.826
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         107.095;           3.660;           3.949;           3.687;           0.060 ( 1.633 %);  16555.240
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         455.286;           3.380;           3.431;           3.392;           0.009 ( 0.260 %);  17992.408
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         150.621;           3.661;           4.221;           3.694;           0.102 ( 2.748 %);  16523.189
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         127.744;           3.383;           3.454;           3.395;           0.012 ( 0.347 %);  17976.350
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         141.587;           3.662;           3.958;           3.695;           0.077 ( 2.090 %);  16519.665
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          72.450;           3.384;           3.444;           3.394;           0.010 ( 0.298 %);  17984.055
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          78.585;           3.661;           3.950;           3.685;           0.058 ( 1.580 %);  16561.774
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         143.781;           3.383;           3.431;           3.394;           0.009 ( 0.269 %);  17985.018
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          56.919;           3.662;           4.085;           3.692;           0.085 ( 2.307 %);  16530.511
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          36.331;           3.383;           3.428;           3.395;           0.008 ( 0.246 %);  17979.239
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          65.525;           3.660;           3.956;           3.687;           0.060 ( 1.619 %);  16552.927
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          55.116;           3.386;           3.858;           3.416;           0.081 ( 2.363 %);  17869.178
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         175.381;           3.661;          13.476;           4.253;           1.786 (41.990 %);  14349.447
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.850;           3.383;           3.438;           3.396;           0.012 ( 0.341 %);  17973.623
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         104.241;           3.664;           3.960;           3.687;           0.060 ( 1.632 %);  16554.424
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          60.117;           3.384;           3.449;           3.394;           0.011 ( 0.323 %);  17982.288
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         385.520;           3.662;           3.945;           3.685;           0.061 ( 1.648 %);  16561.774
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         273.271;           3.384;           3.443;           3.394;           0.010 ( 0.297 %);  17985.179
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         182.952;           3.661;           3.949;           3.686;           0.060 ( 1.636 %);  16560.004
