     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        3100.282;           3.940;           4.173;           3.956;           0.040 ( 0.999 %);  15428.739
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         109.228;           3.106;           3.398;           3.124;           0.050 ( 1.606 %);  19540.156
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         234.505;           3.939;           4.223;           3.958;           0.048 ( 1.217 %);  15422.123
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         122.196;           3.108;           3.390;           3.124;           0.048 ( 1.551 %);  19537.123
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         131.719;           3.940;           4.136;           3.954;           0.033 ( 0.838 %);  15434.887
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         204.080;           3.106;           3.387;           3.123;           0.048 ( 1.536 %);  19541.672
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         187.507;           3.938;           4.265;           3.957;           0.056 ( 1.404 %);  15423.068
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         164.325;           3.106;           3.436;           3.132;           0.073 ( 2.340 %);  19490.049
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;       13498.796;           3.940;           4.149;           3.955;           0.035 ( 0.892 %);  15434.296
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          56.706;           3.105;           3.390;           3.123;           0.048 ( 1.553 %);  19545.844
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         185.725;           3.938;           4.295;           3.958;           0.061 ( 1.532 %);  15419.290
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         116.547;           3.106;           3.388;           3.125;           0.048 ( 1.545 %);  19533.523
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
