     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         174.626;          17.037;          17.499;          17.088;           0.077 ( 0.448 %);   3571.808
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          49.111;          17.703;          18.305;          17.817;           0.105 ( 0.587 %);   3425.664
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          68.287;          14.706;          14.846;          14.764;           0.025 ( 0.172 %);   4134.138
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         116.011;          17.701;          18.117;          17.821;           0.075 ( 0.423 %);   3424.994
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          50.177;          14.713;          14.869;          14.767;           0.029 ( 0.197 %);   4133.349
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        4650.820;          17.707;          18.054;          17.785;           0.070 ( 0.396 %);   3431.751
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         584.175;          14.716;          14.820;          14.759;           0.020 ( 0.137 %);   4135.326
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        2690.883;          17.702;          18.020;          17.792;           0.067 ( 0.375 %);   3430.396
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         103.720;          14.725;          14.934;          14.757;           0.036 ( 0.244 %);   4136.031
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         704.509;          17.700;          18.146;          17.791;           0.081 ( 0.455 %);   3430.606
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          61.599;          14.730;          14.814;          14.764;           0.020 ( 0.138 %);   4134.112
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          42.231;          17.673;          17.973;          17.782;           0.071 ( 0.398 %);   3432.371
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         108.632;          14.728;          14.815;          14.760;           0.020 ( 0.138 %);   4135.097
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         132.660;          17.533;          18.011;          17.760;           0.092 ( 0.519 %);   3436.600
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          76.746;          14.711;          14.857;          14.754;           0.027 ( 0.180 %);   4136.965
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         205.458;          17.700;          18.053;          17.767;           0.058 ( 0.324 %);   3435.252
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         134.087;          14.735;          14.831;          14.764;           0.021 ( 0.144 %);   4134.061
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          45.565;          18.274;          71.988;          22.040;           8.976 (40.724 %);   2769.252
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          65.009;          16.167;          16.282;          16.200;           0.021 ( 0.128 %);   3767.553
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          34.040;          17.556;          17.996;          17.761;           0.100 ( 0.562 %);   3436.436
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         369.435;          14.719;          15.115;          14.767;           0.067 ( 0.457 %);   4133.128
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         185.107;          17.613;          18.030;          17.744;           0.071 ( 0.402 %);   3439.792
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         195.540;          14.740;          14.856;          14.774;           0.023 ( 0.157 %);   4131.331
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         458.130;          17.701;          18.056;          17.789;           0.073 ( 0.411 %);   3431.044
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          86.606;          14.711;          20.790;          15.101;           1.373 ( 9.089 %);   4041.852
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         126.031;          20.280;          26.405;          20.690;           1.030 ( 4.978 %);   2949.979
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        2131.968;          17.007;          17.408;          17.071;           0.066 ( 0.386 %);   3575.307
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          59.395;          18.190;          18.565;          18.303;           0.072 ( 0.395 %);   3334.680
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          89.788;          15.127;          15.299;          15.174;           0.029 ( 0.188 %);   4022.375
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         135.422;          18.209;          18.534;          18.318;           0.065 ( 0.357 %);   3332.065
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          27.619;          15.128;          15.286;          15.172;           0.029 ( 0.188 %);   4022.785
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         277.812;          17.688;          18.061;          17.819;           0.074 ( 0.418 %);   3425.279
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         112.802;          14.719;          14.861;          14.767;           0.027 ( 0.184 %);   4133.094
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        6353.024;          17.570;          18.075;          17.755;           0.083 ( 0.465 %);   3437.720
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.397;          14.709;          14.838;          14.764;           0.025 ( 0.170 %);   4134.044
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          88.263;          17.673;          17.971;          17.785;           0.068 ( 0.384 %);   3431.845
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         716.867;          14.728;          14.987;          14.801;           0.085 ( 0.578 %);   4123.583
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         503.417;          17.714;          18.137;          17.828;           0.082 ( 0.462 %);   3423.626
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          61.481;          14.718;          61.935;          17.830;          10.191 (57.160 %);   3423.219
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         188.006;          17.696;          18.147;          17.805;           0.089 ( 0.502 %);   3427.990
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          76.699;          14.714;          15.045;          14.773;           0.063 ( 0.430 %);   4131.492
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          32.498;          18.190;          18.455;          18.272;           0.068 ( 0.371 %);   3340.365
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          52.086;          15.123;          53.015;          16.345;           6.585 (40.288 %);   3734.283
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          84.561;          20.472;          20.756;          20.574;           0.086 ( 0.417 %);   2966.629
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          83.804;          15.117;          30.362;          16.319;           2.794 (17.123 %);   3740.198
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          89.318;          17.566;          17.992;          17.783;           0.079 ( 0.444 %);   3432.167
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         679.426;          14.707;          62.641;          16.701;           8.624 (51.637 %);   3654.680
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         186.570;          17.535;          17.889;          17.740;           0.107 ( 0.600 %);   3440.486
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          75.709;          14.716;          14.813;          14.756;           0.020 ( 0.134 %);   4136.379
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          67.428;          17.721;          18.077;          17.818;           0.077 ( 0.431 %);   3425.501
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         833.355;          14.714;          14.825;          14.761;           0.023 ( 0.153 %);   4135.012
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         195.294;          17.525;          18.104;          17.775;           0.111 ( 0.625 %);   3433.752
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          80.494;          14.721;          14.803;          14.758;           0.020 ( 0.139 %);   4135.717
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         103.589;          17.698;          18.093;          17.816;           0.075 ( 0.418 %);   3425.769
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.112;          14.712;          14.851;          14.764;           0.025 ( 0.171 %);   4134.036
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         202.009;          18.201;          18.497;          18.271;           0.064 ( 0.350 %);   3340.493
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          48.395;          15.113;          17.241;          15.230;           0.362 ( 2.377 %);   4007.489
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          43.154;          18.185;          51.772;          21.622;           8.402 (38.857 %);   2822.846
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         503.293;          16.618;          16.736;          16.648;           0.023 ( 0.140 %);   3666.135
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         902.188;          17.685;          17.997;          17.790;           0.074 ( 0.416 %);   3430.863
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          87.938;          14.710;          14.859;          14.763;           0.031 ( 0.211 %);   4134.240
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          58.795;          17.704;          74.504;          22.324;          13.295 (59.554 %);   2734.041
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          94.457;          14.720;          14.825;          14.777;           0.027 ( 0.182 %);   4130.407
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
