           0.023 ( 0.312 %)	           0.008 ( 0.417 %)	           0.007 ( 0.346 %)	           0.007 ( 0.325 %)	           0.006 ( 0.191 %)
           0.041 ( 0.560 %)	           0.011 ( 0.524 %)	           0.012 ( 0.523 %)	           0.008 ( 0.384 %)	           0.006 ( 0.207 %)
           0.033 ( 0.449 %)	           0.009 ( 0.435 %)	           0.007 ( 0.334 %)	           0.007 ( 0.361 %)	           0.009 ( 0.276 %)
           0.028 ( 0.390 %)	           0.009 ( 0.464 %)	           0.008 ( 0.413 %)	           0.011 ( 0.525 %)	           0.009 ( 0.288 %)
           0.028 ( 0.337 %)	           0.010 ( 0.444 %)	           0.009 ( 0.446 %)	           0.006 ( 0.318 %)	           0.008 ( 0.254 %)
           0.032 ( 0.444 %)	           0.008 ( 0.413 %)	           2.859 (110.212 %)	           0.009 ( 0.463 %)	           0.009 ( 0.304 %)
           0.024 ( 0.283 %)	           0.011 ( 0.541 %)	           0.165 ( 7.934 %)	           0.008 ( 0.401 %)	           0.008 ( 0.270 %)
           0.060 ( 0.825 %)	           0.009 ( 0.466 %)	           0.009 ( 0.442 %)	           0.008 ( 0.381 %)	           0.005 ( 0.176 %)
           0.031 ( 0.431 %)	           0.009 ( 0.452 %)	           0.008 ( 0.389 %)	           0.006 ( 0.287 %)	           0.013 ( 0.438 %)
           0.029 ( 0.387 %)	           0.011 ( 0.562 %)	           0.008 ( 0.410 %)	           0.009 ( 0.459 %)	           0.007 ( 0.234 %)
           0.024 ( 0.318 %)	           0.008 ( 0.402 %)	           0.007 ( 0.348 %)	           0.008 ( 0.397 %)	           0.009 ( 0.286 %)
           0.028 ( 0.376 %)	           0.016 ( 0.783 %)	           0.008 ( 0.409 %)	           0.009 ( 0.439 %)	           0.012 ( 0.374 %)
           0.052 ( 0.694 %)	           0.010 ( 0.504 %)	           0.009 ( 0.482 %)	           0.006 ( 0.313 %)	           0.012 ( 0.376 %)
           0.034 ( 0.454 %)	           0.007 ( 0.357 %)	           0.007 ( 0.377 %)	           0.008 ( 0.382 %)	           0.007 ( 0.240 %)
           0.027 ( 0.363 %)	           0.011 ( 0.491 %)	           0.013 ( 0.563 %)	           0.008 ( 0.377 %)	           0.006 ( 0.202 %)
           0.024 ( 0.335 %)	           0.008 ( 0.400 %)	           0.007 ( 0.340 %)	           0.009 ( 0.423 %)	           0.009 ( 0.260 %)
           0.032 ( 0.426 %)	           0.013 ( 0.588 %)	           0.009 ( 0.442 %)	           0.005 ( 0.268 %)	           0.006 ( 0.190 %)
           0.182 ( 2.416 %)	           0.010 ( 0.532 %)	           0.008 ( 0.410 %)	           0.008 ( 0.407 %)	           0.011 ( 0.365 %)
           0.028 ( 0.379 %)	           0.010 ( 0.430 %)	           0.008 ( 0.395 %)	           0.005 ( 0.272 %)	           0.010 ( 0.326 %)
           0.035 ( 0.482 %)	           0.009 ( 0.422 %)	           0.010 ( 0.484 %)	           0.007 ( 0.371 %)	           0.017 ( 0.572 %)
           0.023 ( 0.320 %)	           0.007 ( 0.349 %)	           0.007 ( 0.362 %)	           0.009 ( 0.446 %)	           0.007 ( 0.233 %)
           0.032 ( 0.444 %)	           0.008 ( 0.418 %)	           0.010 ( 0.425 %)	           0.006 ( 0.313 %)	           0.005 ( 0.162 %)
           0.033 ( 0.455 %)	           0.009 ( 0.435 %)	           0.008 ( 0.361 %)	           0.007 ( 0.365 %)	           0.009 ( 0.284 %)
           0.029 ( 0.391 %)	           0.010 ( 0.492 %)	           0.009 ( 0.425 %)	           0.007 ( 0.345 %)	           0.009 ( 0.277 %)
           0.133 ( 1.814 %)	           0.008 ( 0.409 %)	           0.009 ( 0.466 %)	           0.006 ( 0.310 %)	           0.008 ( 0.256 %)
           0.034 ( 0.465 %)	           0.008 ( 0.383 %)	           0.010 ( 0.489 %)	           0.006 ( 0.277 %)	           0.009 ( 0.299 %)
           0.030 ( 0.396 %)	           0.010 ( 0.434 %)	           0.007 ( 0.371 %)	           0.006 ( 0.297 %)	           0.010 ( 0.334 %)
           0.037 ( 0.490 %)	           0.009 ( 0.444 %)	           0.009 ( 0.465 %)	           0.009 ( 0.435 %)	           0.007 ( 0.242 %)
           0.027 ( 0.367 %)	           0.011 ( 0.529 %)	           0.006 ( 0.303 %)	           0.006 ( 0.299 %)	           0.008 ( 0.260 %)
           0.022 ( 0.298 %)	           0.007 ( 0.368 %)	           0.008 ( 0.394 %)	           0.007 ( 0.363 %)	           0.010 ( 0.311 %)
           0.026 ( 0.347 %)	           0.012 ( 0.596 %)	           0.009 ( 0.465 %)	           0.007 ( 0.329 %)	           0.008 ( 0.248 %)
           0.031 ( 0.414 %)	           1.277 (56.803 %)	           3.913 (114.684 %)	           0.008 ( 0.342 %)	           0.010 ( 0.336 %)
           0.032 ( 0.432 %)	           0.012 ( 0.513 %)	           0.011 ( 0.537 %)	           0.007 ( 0.328 %)	           0.008 ( 0.273 %)
           0.039 ( 0.539 %)	           0.010 ( 0.480 %)	           0.010 ( 0.448 %)	           0.007 ( 0.376 %)	           0.011 ( 0.317 %)
           0.058 ( 0.689 %)	           0.012 ( 0.610 %)	           0.008 ( 0.404 %)	           0.007 ( 0.337 %)	           0.006 ( 0.208 %)
           0.031 ( 0.425 %)	           0.007 ( 0.335 %)	           0.010 ( 0.423 %)	           0.007 ( 0.356 %)	           0.010 ( 0.337 %)
           0.031 ( 0.418 %)	           0.010 ( 0.515 %)	           0.007 ( 0.348 %)	           0.008 ( 0.417 %)	           0.011 ( 0.307 %)
           0.045 ( 0.594 %)	           0.009 ( 0.423 %)	           0.007 ( 0.369 %)	           0.009 ( 0.444 %)	           0.007 ( 0.229 %)
           0.027 ( 0.355 %)	           0.008 ( 0.410 %)	           2.181 (66.143 %)	           0.007 ( 0.346 %)	           0.010 ( 0.312 %)
           0.034 ( 0.455 %)	           0.010 ( 0.496 %)	           0.028 ( 1.474 %)	           0.008 ( 0.419 %)	           0.011 ( 0.347 %)
           0.033 ( 0.444 %)	           0.007 ( 0.356 %)	           0.012 ( 0.478 %)	           0.007 ( 0.351 %)	           0.007 ( 0.224 %)
           0.032 ( 0.429 %)	           0.010 ( 0.496 %)	           0.008 ( 0.416 %)	           0.005 ( 0.269 %)	           0.009 ( 0.246 %)
           0.037 ( 0.493 %)	           0.010 ( 0.495 %)	           0.008 ( 0.382 %)	           0.008 ( 0.371 %)	           0.016 ( 0.454 %)
