           0.079 ( 0.435 %)	           1.293 (18.255 %)	           0.053 ( 1.330 %)	           1.393 (17.664 %)	           0.050 ( 1.270 %)
           0.076 ( 0.428 %)	           0.020 ( 0.466 %)	           0.268 ( 6.596 %)	           0.230 ( 4.613 %)	           0.055 ( 1.437 %)
           0.061 ( 0.344 %)	           0.220 ( 5.064 %)	           0.190 ( 4.545 %)	           0.470 ( 8.870 %)	           0.050 ( 1.256 %)
           8.234 (41.453 %)	           0.024 ( 0.560 %)	           0.113 ( 2.513 %)	           0.207 ( 4.142 %)	           0.039 ( 0.998 %)
           0.051 ( 0.278 %)	           0.021 ( 0.503 %)	           0.120 ( 2.691 %)	           0.297 ( 6.050 %)	           0.038 ( 0.965 %)
           4.684 (24.371 %)	           0.020 ( 0.461 %)	           0.146 ( 3.275 %)	           0.138 ( 2.826 %)	           0.049 ( 1.246 %)
           0.071 ( 0.390 %)	           0.018 ( 0.432 %)	           0.145 ( 3.743 %)	           0.185 ( 4.073 %)	           0.045 ( 1.136 %)
           0.080 ( 0.436 %)	           0.022 ( 0.507 %)	           0.131 ( 3.025 %)	           0.125 ( 2.822 %)	           0.040 ( 1.047 %)
           0.071 ( 0.392 %)	           0.035 ( 0.824 %)	           0.050 ( 1.117 %)	           0.218 ( 5.302 %)	           2.499 (57.870 %)
           0.069 ( 0.388 %)	           0.040 ( 0.939 %)	           3.422 (48.289 %)	           0.071 ( 1.743 %)	           0.051 ( 1.297 %)
           0.080 ( 0.447 %)	           0.021 ( 0.483 %)	           5.360 (89.354 %)	           0.145 ( 3.451 %)	           0.048 ( 1.216 %)
           0.063 ( 0.352 %)	           0.018 ( 0.432 %)	           0.104 ( 1.584 %)	           0.177 ( 4.232 %)	           0.037 ( 0.946 %)
           0.092 ( 0.390 %)	           0.022 ( 0.509 %)	           0.178 ( 3.699 %)	           0.188 ( 4.525 %)	           0.230 ( 5.775 %)
           0.059 ( 0.275 %)	           0.020 ( 0.464 %)	           0.179 ( 3.346 %)	           0.193 ( 4.649 %)	           0.042 ( 1.059 %)
           0.071 ( 0.396 %)	           0.024 ( 0.564 %)	           0.314 ( 6.098 %)	           0.192 ( 4.639 %)	           0.038 ( 0.968 %)
           0.063 ( 0.355 %)	           0.173 ( 4.030 %)	           0.196 ( 2.478 %)	           0.033 ( 0.776 %)	           0.113 ( 2.839 %)
           0.094 ( 0.457 %)	           0.037 ( 0.876 %)	           0.073 ( 1.306 %)	           0.016 ( 0.376 %)	           0.047 ( 1.180 %)
           9.584 (44.425 %)	           0.017 ( 0.408 %)	           0.331 ( 5.972 %)	           0.264 ( 6.744 %)	           0.036 ( 0.908 %)
           0.068 ( 0.380 %)	           0.019 ( 0.454 %)	           0.175 ( 3.409 %)	           0.245 ( 5.986 %)	           0.045 ( 1.145 %)
           0.052 ( 0.291 %)	           0.018 ( 0.417 %)	           0.271 ( 5.138 %)	           0.172 ( 4.137 %)	           0.056 ( 1.250 %)
           0.061 ( 0.344 %)	           0.017 ( 0.400 %)	           2.619 (50.774 %)	           0.128 ( 3.061 %)	           0.038 ( 0.984 %)
           0.069 ( 0.378 %)	           0.020 ( 0.476 %)	           0.252 ( 4.806 %)	           0.208 ( 5.033 %)	           0.038 ( 0.980 %)
           0.096 ( 0.528 %)	           0.046 ( 1.086 %)	           2.504 (48.604 %)	           0.220 ( 5.362 %)	           0.053 ( 1.383 %)
