           0.100 	           0.019 	           2.770 	           0.136 	           0.052 
           0.071 	           0.015 	           0.166 	           0.228 	           0.045 
           0.073 	           0.030 	           0.117 	           0.193 	           0.048 
           1.030 	           0.019 	           0.151 	           0.114 	           0.054 
           0.072 	           0.017 	           0.212 	           0.230 	           0.044 
           0.065 	           0.020 	           0.028 	           0.135 	           3.154 
           0.074 	           0.037 	           0.134 	           2.526 	           4.373 
           0.083 	           0.057 	           0.152 	           0.195 	           0.050 
           0.068 	           0.021 	           0.170 	           0.150 	           0.050 
           0.082 	           0.017 	           0.071 	           0.051 	           0.056 
           0.089 	           0.019 	           0.174 	           0.112 	           0.055 
           0.068 	           0.016 	           0.147 	           0.371 	           0.051 
           0.086 	           0.017 	           0.223 	           0.038 	           0.038 
           0.079 	           0.016 	           0.172 	           0.221 	           0.038 
           0.107 	           0.020 	           1.300 	           0.168 	           0.054 
           0.077 	           0.018 	           4.065 	           0.167 	           0.065 
           0.111 	           0.022 	           0.103 	           0.113 	           0.043 
           0.075 	           0.020 	           0.292 	           0.115 	           0.054 
           0.064 	           0.018 	           0.212 	           0.147 	           0.044 
           8.402 	           0.034 	           0.236 	           0.060 	           0.122 
           0.074 	           0.019 	           0.235 	           0.159 	           0.053 
          13.295 	           0.021 	           0.191 	           0.069 	           0.051 
           0.075 	           0.020 	           0.169 	           0.151 	           0.056 
           0.085 	           0.054 	           0.164 	           2.447 	           0.180 
           0.099 	           0.027 	           0.166 	           3.655 	           0.082 
           0.086 	           0.016 	           0.164 	           8.331 	           0.079 
           0.072 	           0.020 	           0.143 	           0.129 	           0.062 
           0.071 	           0.491 	           0.151 	           2.003 	           0.046 
           0.079 	           1.293 	           0.053 	           1.393 	           0.050 
           0.076 	           0.020 	           0.268 	           0.230 	           0.055 
           0.061 	           0.220 	           0.190 	           0.470 	           0.050 
           8.234 	           0.024 	           0.113 	           0.207 	           0.039 
           0.051 	           0.021 	           0.120 	           0.297 	           0.038 
           4.684 	           0.020 	           0.146 	           0.138 	           0.049 
           0.071 	           0.018 	           0.145 	           0.185 	           0.045 
           0.080 	           0.022 	           0.131 	           0.125 	           0.040 
           0.071 	           0.035 	           0.050 	           0.218 	           2.499 
           0.069 	           0.040 	           3.422 	           0.071 	           0.051 
           0.080 	           0.021 	           5.360 	           0.145 	           0.048 
           0.063 	           0.018 	           0.104 	           0.177 	           0.037 
           0.092 	           0.022 	           0.178 	           0.188 	           0.230 
           0.059 	           0.020 	           0.179 	           0.193 	           0.042 
           0.071 	           0.024 	           0.314 	           0.192 	           0.038 
           0.063 	           0.173 	           0.196 	           0.033 	           0.113 
           0.094 	           0.037 	           0.073 	           0.016 	           0.047 
           9.584 	           0.017 	           0.331 	           0.264 	           0.036 
           0.068 	           0.019 	           0.175 	           0.245 	           0.045 
           0.052 	           0.018 	           0.271 	           0.172 	           0.056 
           0.061 	           0.017 	           2.619 	           0.128 	           0.038 
           0.069 	           0.020 	           0.252 	           0.208 	           0.038 
           0.096 	           0.046 	           2.504 	           0.220 	           0.053 
