           9.696 (52.944 %)	           0.010 ( 0.245 %)	           0.007 ( 0.166 %)	           0.211 ( 5.001 %)	           0.062 ( 1.704 %)
           0.026 ( 0.174 %)	           0.008 ( 0.200 %)	           0.007 ( 0.162 %)	           0.010 ( 0.214 %)	           0.056 ( 1.646 %)
           5.247 (32.255 %)	           1.073 (24.524 %)	           0.008 ( 0.182 %)	           0.011 ( 0.228 %)	           0.053 ( 1.595 %)
           0.034 ( 0.223 %)	           0.117 ( 1.700 %)	           0.009 ( 0.199 %)	           0.322 ( 3.932 %)	           0.050 ( 1.596 %)
           8.690 (46.952 %)	           0.007 ( 0.183 %)	           0.007 ( 0.158 %)	           0.013 ( 0.267 %)	           0.047 ( 1.545 %)
           3.417 (21.609 %)	           0.009 ( 0.228 %)	           0.008 ( 0.177 %)	           0.019 ( 0.391 %)	           0.050 ( 1.599 %)
           6.436 (35.058 %)	           0.014 ( 0.343 %)	           0.085 ( 1.877 %)	           0.011 ( 0.234 %)	           0.049 ( 1.579 %)
           5.585 (32.987 %)	           0.007 ( 0.167 %)	           0.007 ( 0.159 %)	           0.010 ( 0.217 %)	           0.071 ( 2.277 %)
           7.320 (38.067 %)	           0.008 ( 0.200 %)	           0.009 ( 0.204 %)	           0.026 ( 0.560 %)	           0.049 ( 1.554 %)
           0.060 ( 0.398 %)	           0.009 ( 0.238 %)	           0.007 ( 0.152 %)	           0.008 ( 0.194 %)	           0.049 ( 1.573 %)
           0.023 ( 0.152 %)	           3.497 (59.196 %)	           0.007 ( 0.167 %)	           0.008 ( 0.183 %)	           0.071 ( 2.343 %)
           0.021 ( 0.135 %)	           0.008 ( 0.200 %)	           0.023 ( 0.513 %)	           0.008 ( 0.197 %)	           0.047 ( 1.517 %)
           7.964 (45.937 %)	           0.007 ( 0.186 %)	           1.324 (23.752 %)	           0.010 ( 0.251 %)	           0.073 ( 2.346 %)
           0.166 ( 1.122 %)	           0.537 (13.285 %)	           0.010 ( 0.200 %)	           0.008 ( 0.204 %)	           0.047 ( 1.520 %)
           9.380 (53.236 %)	           0.009 ( 0.218 %)	           0.266 ( 3.596 %)	           0.010 ( 0.245 %)	           0.049 ( 1.559 %)
           0.073 ( 0.372 %)	           0.007 ( 0.190 %)	           0.009 ( 0.174 %)	           0.007 ( 0.181 %)	           0.049 ( 1.570 %)
           3.632 (23.236 %)	           0.009 ( 0.230 %)	           1.285 (22.683 %)	           0.010 ( 0.248 %)	           0.048 ( 1.550 %)
           0.020 ( 0.133 %)	           0.591 (14.580 %)	           0.010 ( 0.183 %)	           0.009 ( 0.232 %)	           0.048 ( 1.534 %)
           9.277 (52.033 %)	           0.010 ( 0.253 %)	           0.411 ( 4.625 %)	           0.009 ( 0.238 %)	           0.050 ( 1.610 %)
           2.873 (17.230 %)	           0.009 ( 0.216 %)	           0.009 ( 0.157 %)	           0.008 ( 0.197 %)	           0.050 ( 1.590 %)
           0.022 ( 0.136 %)	           0.010 ( 0.252 %)	           0.010 ( 0.178 %)	           0.010 ( 0.255 %)	           0.065 ( 2.084 %)
           0.026 ( 0.177 %)	           0.010 ( 0.245 %)	           0.009 ( 0.145 %)	           0.011 ( 0.272 %)	           0.049 ( 1.575 %)
           9.924 (52.852 %)	           0.009 ( 0.220 %)	           0.010 ( 0.180 %)	           0.025 ( 0.629 %)	           0.055 ( 1.558 %)
           0.021 ( 0.141 %)	           0.062 ( 1.575 %)	           0.010 ( 0.175 %)	           0.008 ( 0.214 %)	           0.083 ( 2.712 %)
           0.024 ( 0.157 %)	           0.010 ( 0.262 %)	           0.012 ( 0.233 %)	           0.010 ( 0.245 %)	           0.048 ( 1.594 %)
           2.537 (16.594 %)	           0.009 ( 0.218 %)	           0.008 ( 0.176 %)	           0.011 ( 0.282 %)	           0.050 ( 1.657 %)
