     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          43.586;          15.761;          16.191;          15.811;           0.071 ( 0.449 %);   3860.290
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          45.644;           7.465;           7.648;           7.494;           0.031 ( 0.409 %);   8144.701
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          30.561;          15.721;          16.147;          15.778;           0.071 ( 0.447 %);   3868.297
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.172;           7.467;           7.601;           7.494;           0.026 ( 0.342 %);   8144.899
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          45.942;          15.282;          15.639;          15.330;           0.061 ( 0.400 %);   3981.301
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          47.417;           7.265;           7.431;           7.290;           0.031 ( 0.419 %);   8371.893
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.798;          15.287;          15.556;          15.337;           0.050 ( 0.327 %);   3979.681
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.587;           7.267;           7.461;           7.293;           0.032 ( 0.444 %);   8368.762
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          25.112;          15.344;          15.685;          15.388;           0.057 ( 0.370 %);   3966.475
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          15.523;           7.262;           7.457;           7.293;           0.032 ( 0.436 %);   8369.214
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          14.791;          15.290;          15.675;          15.345;           0.063 ( 0.410 %);   3977.417
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          47.112;           7.262;           7.422;           7.287;           0.027 ( 0.373 %);   8375.792
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.068;          15.287;          15.593;          15.348;           0.053 ( 0.347 %);   3976.828
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.447;           7.264;           7.480;           7.290;           0.037 ( 0.503 %);   8372.206
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          33.388;          15.274;          15.703;          15.344;           0.071 ( 0.464 %);   3977.802
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          32.399;           7.268;           7.463;           7.291;           0.033 ( 0.452 %);   8371.092
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.573;          15.277;          15.643;          15.345;           0.060 ( 0.390 %);   3977.417
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          15.889;           7.257;           7.437;           7.292;           0.030 ( 0.412 %);   8370.640
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          16.683;          15.291;          15.703;          15.333;           0.069 ( 0.449 %);   3980.719
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.793;           7.270;           7.421;           7.295;           0.027 ( 0.364 %);   8366.954
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          25.054;          15.290;          15.699;          15.347;           0.067 ( 0.438 %);   3977.048
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          61.395;           7.261;           7.498;           7.295;           0.039 ( 0.537 %);   8366.780
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          44.450;          15.675;          16.212;          15.767;           0.085 ( 0.538 %);   3871.181
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          25.829;           7.470;           7.677;           7.500;           0.036 ( 0.476 %);   8138.119
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.784;          15.760;          16.264;          15.839;           0.080 ( 0.505 %);   3853.370
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          55.814;           7.467;           7.642;           7.494;           0.030 ( 0.405 %);   8144.668
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          16.975;          15.722;          16.069;          15.765;           0.062 ( 0.391 %);   3871.486
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         158.465;           7.457;           7.688;           7.493;           0.037 ( 0.493 %);   8145.459
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;       88045.113;          17.656;          18.096;          17.734;           0.076 ( 0.427 %);   3441.732
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          34.571;           8.398;           8.578;           8.432;           0.032 ( 0.374 %);   7238.333
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          46.016;          15.340;          15.639;          15.401;           0.050 ( 0.323 %);   3963.088
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          39.115;           7.255;           7.431;           7.282;           0.029 ( 0.397 %);   8381.159
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         105.659;          15.339;          15.701;          15.402;           0.059 ( 0.383 %);   3962.877
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          32.753;           7.279;          21.746;           7.906;           2.485 (31.432 %);   7720.047
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          40.258;          15.730;          16.168;          15.777;           0.073 ( 0.462 %);   3868.564
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          52.513;           7.466;           7.592;           7.491;           0.023 ( 0.305 %);   8148.161
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          25.537;          15.715;          16.157;          15.760;           0.074 ( 0.467 %);   3872.677
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         804.407;           7.459;           7.626;           7.492;           0.028 ( 0.375 %);   8146.941
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          25.473;          15.734;          16.053;          15.778;           0.054 ( 0.345 %);   3868.393
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          30.257;           7.461;           7.701;           7.498;           0.041 ( 0.541 %);   8140.652
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1039.873;          15.337;          15.580;          15.386;           0.040 ( 0.261 %);   3966.952
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.200;           7.263;           7.543;           7.300;           0.045 ( 0.622 %);   8360.946
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          24.376;          15.285;          15.609;          15.342;           0.056 ( 0.362 %);   3978.203
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          27.485;           7.258;           7.462;           7.292;           0.033 ( 0.458 %);   8370.397
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          38.186;          15.695;          15.994;          15.758;           0.048 ( 0.302 %);   3873.214
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          15.809;           7.466;           7.617;           7.493;           0.029 ( 0.383 %);   8145.986
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          39.658;          15.793;          16.097;          15.826;           0.051 ( 0.321 %);   3856.609
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.921;           7.468;           7.628;           7.494;           0.027 ( 0.363 %);   8144.207
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          16.155;          15.671;          16.499;          15.810;           0.175 ( 1.109 %);   3860.645
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          12.669;           7.471;           7.786;           7.506;           0.055 ( 0.730 %);   8131.483
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          31.890;          15.700;          21.190;          16.010;           0.967 ( 6.041 %);   3812.250
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          95.162;           7.464;           7.787;           7.514;           0.067 ( 0.887 %);   8123.087
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.207;          15.711;          24.994;          16.232;           1.776 (10.944 %);   3760.182
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          14.748;           7.473;           7.746;           7.523;           0.062 ( 0.825 %);   8112.618
