     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.564;           3.696;           3.946;           3.754;           0.072 ( 1.925 %);  16260.537
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          15.078;           2.475;           2.508;           2.487;           0.006 ( 0.232 %);  24540.782
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          35.736;           4.293;           4.630;           4.433;           0.064 ( 1.452 %);  13769.023
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.394;           2.869;           2.912;           2.878;           0.007 ( 0.260 %);  21209.947
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          15.897;           3.808;          25.403;           5.349;           4.603 (86.046 %);  11410.767
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          41.871;           2.550;           2.584;           2.561;           0.010 ( 0.376 %);  23833.676
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.733;           3.800;           4.046;           3.897;           0.070 ( 1.807 %);  15661.844
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.179;           2.551;           2.584;           2.558;           0.006 ( 0.235 %);  23863.609
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          26.197;           3.799;           4.159;           3.828;           0.069 ( 1.809 %);  15945.029
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1524.879;           2.550;           2.601;           2.558;           0.009 ( 0.354 %);  23864.740
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.469;           3.812;           4.031;           3.903;           0.073 ( 1.872 %);  15636.554
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          56.388;           2.545;           2.601;           2.558;           0.010 ( 0.375 %);  23859.651
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         112.889;           3.808;           4.024;           3.828;           0.044 ( 1.141 %);  15944.398
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          34.350;           2.550;           2.613;           2.559;           0.011 ( 0.423 %);  23855.412
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          27.007;           3.807;           4.135;           3.830;           0.060 ( 1.580 %);  15937.207
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          36.863;           2.549;           2.577;           2.557;           0.005 ( 0.202 %);  23867.002
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.715;           3.799;           3.956;           3.879;           0.070 ( 1.793 %);  15734.766
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          28.551;           2.550;           2.583;           2.558;           0.006 ( 0.250 %);  23861.064
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          56.835;           3.808;           4.072;           3.829;           0.050 ( 1.300 %);  15939.729
