           0.086 ( 0.559 %)	           0.018 ( 0.383 %)	           0.035 ( 1.419 %)	           0.047 ( 1.850 %)	           0.039 ( 0.987 %)
           0.072 ( 0.469 %)	           0.021 ( 0.498 %)	           0.016 ( 0.609 %)	           0.030 ( 1.319 %)	           0.044 ( 1.099 %)
           0.065 ( 0.424 %)	           0.020 ( 0.471 %)	           0.016 ( 0.543 %)	           0.030 ( 1.319 %)	           0.040 ( 1.015 %)
           0.051 ( 0.332 %)	           0.022 ( 0.545 %)	           0.033 ( 1.308 %)	           0.029 ( 1.292 %)	           0.051 ( 1.290 %)
           0.069 ( 0.451 %)	           0.015 ( 0.366 %)	           0.034 ( 1.382 %)	           0.031 ( 1.372 %)	           0.061 ( 1.533 %)
           0.066 ( 0.370 %)	           0.022 ( 0.459 %)	           0.027 ( 1.099 %)	           0.031 ( 1.358 %)	           0.037 ( 0.939 %)
           0.072 ( 0.466 %)	           0.022 ( 0.516 %)	           0.032 ( 1.299 %)	           0.032 ( 1.396 %)	           0.042 ( 1.064 %)
           0.099 ( 0.561 %)	           0.015 ( 0.357 %)	           0.147 ( 5.632 %)	           0.032 ( 1.385 %)	           2.519 (57.575 %)
           0.057 ( 0.375 %)	           0.027 ( 0.646 %)	           0.711 (23.546 %)	           0.030 ( 1.298 %)	           0.041 ( 1.076 %)
           0.110 ( 0.714 %)	           0.027 ( 0.649 %)	           0.036 ( 1.412 %)	           0.030 ( 1.329 %)	           0.043 ( 1.117 %)
           9.774 (51.050 %)	           0.017 ( 0.400 %)	           0.030 ( 1.213 %)	           0.035 ( 1.534 %)	           0.038 ( 0.949 %)
           4.786 (28.166 %)	           0.025 ( 0.592 %)	           0.016 ( 0.641 %)	           0.032 ( 1.383 %)	           0.039 ( 0.984 %)
           6.339 (35.946 %)	           0.039 ( 0.915 %)	           0.034 ( 1.349 %)	           0.033 ( 1.449 %)	           0.040 ( 1.004 %)
           0.063 ( 0.398 %)	           0.018 ( 0.423 %)	           0.032 ( 1.277 %)	           0.014 ( 0.613 %)	           0.061 ( 1.543 %)
           1.068 ( 6.698 %)	           0.025 ( 0.589 %)	           0.015 ( 0.611 %)	           0.031 ( 1.365 %)	           0.043 ( 1.118 %)
           0.055 ( 0.349 %)	           0.020 ( 0.422 %)	           0.030 ( 1.046 %)	           0.042 ( 1.835 %)	           0.038 ( 0.986 %)
           0.057 ( 0.373 %)	           0.016 ( 0.396 %)	           0.030 ( 1.175 %)	           0.030 ( 1.315 %)	           0.042 ( 0.935 %)
           0.076 ( 0.481 %)	           0.021 ( 0.436 %)	           0.031 ( 1.235 %)	           0.031 ( 1.356 %)	           0.046 ( 1.158 %)
           0.046 ( 0.291 %)	           0.019 ( 0.466 %)	           0.017 ( 0.675 %)	           0.031 ( 1.375 %)	           0.037 ( 0.943 %)
           0.057 ( 0.369 %)	           0.018 ( 0.385 %)	           0.026 ( 1.055 %)	           0.033 ( 1.476 %)	           0.042 ( 1.100 %)
           0.038 ( 0.250 %)	           0.017 ( 0.411 %)	           0.016 ( 0.646 %)	           0.030 ( 1.362 %)	           0.041 ( 1.062 %)
           0.054 ( 0.350 %)	           0.022 ( 0.518 %)	           0.027 ( 1.094 %)	           0.029 ( 1.324 %)	           0.178 ( 4.558 %)
           0.073 ( 0.475 %)	           0.014 ( 0.350 %)	           0.030 ( 1.042 %)	           0.028 ( 1.270 %)	           0.040 ( 1.025 %)
           0.078 ( 0.505 %)	           0.027 ( 0.665 %)	           0.032 ( 1.108 %)	           0.032 ( 1.454 %)	           0.059 ( 1.479 %)
           0.047 ( 0.305 %)	           0.031 ( 0.761 %)	           0.013 ( 0.501 %)	           0.040 ( 1.786 %)	           0.036 ( 0.921 %)
           0.059 ( 0.384 %)	           0.021 ( 0.519 %)	           0.029 ( 1.120 %)	           0.036 ( 1.596 %)	           0.040 ( 1.012 %)
           0.053 ( 0.348 %)	           0.018 ( 0.436 %)	           0.032 ( 1.293 %)	           0.032 ( 1.411 %)	           0.036 ( 0.936 %)
           0.054 ( 0.340 %)	           0.019 ( 0.394 %)	           0.017 ( 0.669 %)	           0.031 ( 1.411 %)	           0.038 ( 0.988 %)
           0.054 ( 0.343 %)	           0.032 ( 0.772 %)	           0.031 ( 1.255 %)	           0.031 ( 1.412 %)	           0.039 ( 1.004 %)
           1.906 (11.589 %)	           0.019 ( 0.442 %)	           0.014 ( 0.562 %)	           0.029 ( 1.283 %)	           0.041 ( 1.072 %)
           1.348 ( 8.434 %)	           0.020 ( 0.474 %)	           0.028 ( 1.089 %)	           0.031 ( 1.363 %)	           0.041 ( 1.025 %)
           0.051 ( 0.321 %)	           0.017 ( 0.424 %)	           0.014 ( 0.548 %)	           0.068 ( 2.967 %)	           0.036 ( 0.919 %)
           0.066 ( 0.416 %)	           0.019 ( 0.448 %)	           0.063 ( 2.440 %)	           0.045 ( 1.768 %)	           0.039 ( 1.002 %)
           0.052 ( 0.329 %)	           0.024 ( 0.496 %)	           1.270 (45.603 %)	           0.047 ( 2.040 %)	           0.038 ( 0.993 %)
           0.071 ( 0.465 %)	           0.016 ( 0.388 %)	           0.014 ( 0.482 %)	           0.031 ( 1.390 %)	           0.043 ( 0.970 %)
           0.062 ( 0.349 %)	           0.016 ( 0.395 %)	           0.040 ( 1.546 %)	           0.031 ( 1.412 %)	           0.040 ( 1.029 %)
           0.051 ( 0.334 %)	           0.026 ( 0.635 %)	           0.032 ( 1.106 %)	           0.032 ( 1.401 %)	           0.038 ( 0.993 %)
           0.064 ( 0.416 %)	           0.020 ( 0.467 %)	           0.035 ( 1.356 %)	           0.032 ( 1.415 %)	           0.046 ( 1.036 %)
           0.038 ( 0.239 %)	           0.030 ( 0.705 %)	           0.028 ( 1.099 %)	           0.031 ( 1.353 %)	           0.043 ( 1.111 %)
           0.050 ( 0.318 %)	           0.022 ( 0.510 %)	           0.030 ( 1.157 %)	           0.029 ( 1.263 %)	           0.042 ( 1.070 %)
           0.074 ( 0.465 %)	           0.017 ( 0.412 %)	           0.027 ( 1.119 %)	           0.028 ( 1.244 %)	           0.046 ( 1.169 %)
           0.050 ( 0.317 %)	           0.019 ( 0.461 %)	           0.042 ( 1.270 %)	           0.031 ( 1.390 %)	           0.047 ( 1.222 %)
           0.047 ( 0.297 %)	           0.024 ( 0.576 %)	           0.031 ( 1.225 %)	           0.052 ( 2.331 %)	           0.045 ( 0.999 %)
           0.052 ( 0.331 %)	           0.020 ( 0.494 %)	           0.020 ( 0.800 %)	           0.034 ( 1.343 %)	           0.043 ( 0.956 %)
