           0.026 	           0.060 	           0.044 	           0.040 	           0.012 
           0.030 	           0.050 	           0.051 	           0.054 	           0.006 
           0.033 	           0.046 	           0.045 	           0.048 	           0.019 
           0.027 	           0.045 	           0.043 	           0.047 	           0.007 
           0.031 	           0.007 	           0.045 	           0.042 	           0.008 
           0.029 	           0.038 	           0.045 	           0.041 	           0.007 
           0.035 	           0.042 	           0.045 	           0.042 	           0.005 
           0.026 	           0.046 	           0.061 	           0.043 	           0.008 
           0.039 	           0.052 	           0.044 	           0.040 	           0.007 
           0.033 	           0.011 	           0.065 	           0.042 	           0.009 
           0.045 	           0.043 	           0.041 	           0.042 	           0.008 
           0.026 	           0.045 	           0.044 	           0.041 	           0.010 
           0.031 	           0.618 	           0.046 	           0.043 	           0.009 
           0.020 	           0.041 	           0.046 	           0.042 	           0.008 
           0.034 	           0.036 	           0.088 	           0.043 	           0.006 
           0.026 	           0.061 	           0.044 	           0.042 	           0.007 
           0.030 	           0.042 	           0.043 	           0.007 	           0.012 
           0.024 	           0.044 	           0.035 	           0.042 	           0.008 
           0.048 	           0.053 	           0.037 	           0.042 	           0.007 
           0.029 	           0.038 	           0.044 	           0.041 	           0.008 
           0.026 	           0.037 	           0.046 	           0.041 	           0.007 
           0.024 	           0.045 	           0.043 	           0.043 	           0.009 
           0.026 	           0.061 	           0.046 	           0.042 	           0.007 
