     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         195.832;           3.834;           4.073;           3.849;           0.040 ( 1.051 %);  15856.407
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          21.659;           3.023;           3.050;           3.030;           0.006 ( 0.184 %);  20140.393
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          33.779;           3.834;           4.060;           3.852;           0.038 ( 0.978 %);  15844.184
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          29.633;           3.024;           3.086;           3.034;           0.010 ( 0.345 %);  20114.246
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.364;           3.834;          23.056;           5.509;           5.162 (93.690 %);  11078.684
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         109.930;           3.106;           3.268;           3.120;           0.029 ( 0.932 %);  19559.890
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.468;           3.833;           4.066;           3.849;           0.039 ( 1.026 %);  15856.657
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          14.097;           3.025;           3.091;           3.035;           0.011 ( 0.372 %);  20111.033
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         243.327;           3.939;           4.174;           3.955;           0.040 ( 1.007 %);  15432.049
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          40.938;           3.106;           3.147;           3.115;           0.007 ( 0.237 %);  19595.857
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          26.206;           3.939;          14.920;           4.294;           1.909 (44.453 %);  14214.758
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         178.566;           3.107;           3.690;           3.135;           0.100 ( 3.197 %);  19468.385
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.767;           4.067;           4.432;           4.090;           0.062 ( 1.514 %);  14924.127
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          34.935;           3.196;           3.349;           3.208;           0.026 ( 0.805 %);  19027.359
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.714;           4.296;           4.642;           4.323;           0.061 ( 1.404 %);  14119.891
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          58.379;           3.391;           3.434;           3.402;           0.008 ( 0.248 %);  17943.041
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.610;           4.308;           4.592;           4.326;           0.048 ( 1.112 %);  14107.529
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          60.271;           3.393;           3.504;           3.404;           0.019 ( 0.544 %);  17932.178
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.004;           4.180;           4.405;           4.199;           0.038 ( 0.902 %);  14535.956
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          26.004;           3.289;           3.353;           3.300;           0.012 ( 0.365 %);  18495.332
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          37.681;           3.941;          18.521;           4.436;           2.530 (57.023 %);  13758.582
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          21.529;           3.106;           3.144;           3.115;           0.007 ( 0.233 %);  19592.616
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          37.550;           3.948;           4.191;           3.966;           0.041 ( 1.031 %);  15390.306
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          38.029;           3.107;           3.152;           3.115;           0.008 ( 0.251 %);  19591.282
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          71.669;           3.941;           4.168;           3.957;           0.038 ( 0.970 %);  15425.785
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          27.526;           3.107;           3.164;           3.116;           0.010 ( 0.328 %);  19590.711
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.251;           3.941;           4.171;           3.957;           0.039 ( 0.987 %);  15425.903
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          44.385;           3.105;           3.157;           3.116;           0.009 ( 0.283 %);  19590.711
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          59.328;           3.940;           4.197;           3.957;           0.044 ( 1.099 %);  15424.604
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          38.372;           3.106;           3.139;           3.114;           0.006 ( 0.191 %);  19597.382
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          73.487;           3.952;           4.189;           3.967;           0.040 ( 1.015 %);  15386.426
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.517;           3.106;           3.142;           3.114;           0.006 ( 0.207 %);  19597.954
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          35.564;           3.942;           4.243;           3.960;           0.051 ( 1.290 %);  15412.446
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          13.438;           3.108;           3.158;           3.117;           0.009 ( 0.276 %);  19582.140
