     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          16.281;           2.551;           2.651;           2.562;           0.017 ( 0.650 %);  23818.738
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          30.541;           2.012;           2.063;           2.023;           0.009 ( 0.447 %);  30171.972
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          30.954;           2.549;           2.733;           2.562;           0.031 ( 1.211 %);  23822.119
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.338;           2.018;           2.071;           2.026;           0.009 ( 0.446 %);  30120.084
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.188;           2.548;           2.757;           2.564;           0.035 ( 1.364 %);  23802.694
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          26.374;           2.016;           2.064;           2.025;           0.008 ( 0.402 %);  30137.210
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.100;           2.868;           3.169;           2.887;           0.051 ( 1.774 %);  21143.375
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          32.549;           2.265;           2.316;           2.275;           0.009 ( 0.380 %);  26828.283
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          79.090;           2.551;           2.710;           2.562;           0.027 ( 1.050 %);  23820.710
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.735;           2.014;           2.053;           2.024;           0.007 ( 0.368 %);  30158.870
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          27.434;           2.479;           2.669;           2.493;           0.032 ( 1.279 %);  24479.341
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          14.584;           1.962;           2.012;           1.971;           0.009 ( 0.439 %);  30970.403
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          31.163;           2.479;           2.674;           2.495;           0.033 ( 1.304 %);  24465.068
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.454;           1.956;           2.008;           1.966;           0.009 ( 0.449 %);  31042.000
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.305;           2.482;           2.645;           2.496;           0.027 ( 1.092 %);  24453.188
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          23.034;           1.957;           2.008;           1.968;           0.008 ( 0.427 %);  31008.547
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         213.175;           2.478;           2.667;           2.493;           0.032 ( 1.265 %);  24478.151
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          37.370;           1.960;           2.012;           1.970;           0.009 ( 0.456 %);  30978.024
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          14.653;           2.478;           2.676;           2.494;           0.033 ( 1.324 %);  24469.527
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          36.957;           1.960;           2.005;           1.969;           0.008 ( 0.409 %);  30996.140
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          34.244;           2.478;           4.307;           2.541;           0.317 (12.477 %);  24019.846
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          28.325;           1.959;           2.008;           1.969;           0.008 ( 0.408 %);  31000.433
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.127;           2.478;           2.636;           2.493;           0.026 ( 1.044 %);  24480.531
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          49.314;           1.958;           2.007;           1.968;           0.008 ( 0.419 %);  31006.160
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         130.110;           2.480;           2.664;           2.494;           0.031 ( 1.238 %);  24472.500
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          57.828;           1.959;           2.031;           1.969;           0.012 ( 0.611 %);  30999.956
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          30.890;           2.480;           2.573;           2.493;           0.015 ( 0.604 %);  24484.697
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          94.404;           1.959;           2.008;           1.969;           0.008 ( 0.418 %);  31002.819
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          30.476;           2.550;           2.724;           2.564;           0.029 ( 1.138 %);  23806.351
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.217;           2.012;           2.059;           2.022;           0.008 ( 0.379 %);  30190.514
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          93.704;           2.547;           2.940;           2.569;           0.067 ( 2.597 %);  23755.530
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          54.953;           2.014;           2.064;           2.025;           0.008 ( 0.396 %);  30141.720
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          33.360;           2.478;           2.660;           2.494;           0.030 ( 1.209 %);  24470.419
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.017;           1.958;           1.994;           1.967;           0.006 ( 0.328 %);  31023.353
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.580;           2.480;           2.657;           2.494;           0.030 ( 1.187 %);  24468.040
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         172.869;           1.960;           2.008;           1.968;           0.008 ( 0.411 %);  31020.486
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          36.276;           2.550;           2.718;           2.565;           0.028 ( 1.089 %);  23798.756
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.349;           2.012;           2.064;           2.022;           0.009 ( 0.437 %);  30185.537
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          97.475;           2.550;           2.663;           2.561;           0.019 ( 0.734 %);  23833.112
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          22.263;           2.012;           2.056;           2.022;           0.008 ( 0.378 %);  30179.205
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          42.444;           2.557;           2.741;           2.573;           0.031 ( 1.190 %);  23722.515
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          48.455;           2.015;           2.054;           2.024;           0.007 ( 0.339 %);  30154.807
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.075;           2.548;           2.717;           2.563;           0.028 ( 1.098 %);  23816.767
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          97.532;           2.016;           2.064;           2.023;           0.008 ( 0.402 %);  30166.097
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.395;           2.549;           2.629;           2.561;           0.013 ( 0.515 %);  23835.651
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          17.173;           2.013;           2.058;           2.023;           0.008 ( 0.377 %);  30171.520
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          16.255;           2.550;           2.628;           2.561;           0.013 ( 0.509 %);  23828.037
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          51.881;           2.015;           2.066;           2.024;           0.009 ( 0.437 %);  30150.744
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          37.386;           2.547;           2.639;           2.561;           0.015 ( 0.581 %);  23829.729
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.535;           2.014;           2.063;           2.024;           0.009 ( 0.423 %);  30156.161
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          14.625;           2.549;           2.619;           2.561;           0.012 ( 0.451 %);  23836.215
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          65.069;           2.013;           2.109;           2.024;           0.016 ( 0.782 %);  30159.774
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.874;           2.480;           2.561;           2.490;           0.014 ( 0.546 %);  24507.935
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          29.600;           1.961;           2.011;           1.970;           0.009 ( 0.445 %);  30989.463
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          41.050;           2.479;           2.671;           2.496;           0.032 ( 1.279 %);  24455.860
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          34.383;           1.958;           2.010;           1.969;           0.008 ( 0.428 %);  30992.324
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          29.786;           2.480;           2.677;           2.494;           0.033 ( 1.328 %);  24469.229
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          43.860;           1.959;           2.012;           1.968;           0.009 ( 0.449 %);  31016.664
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          27.885;           2.479;           2.691;           2.496;           0.035 ( 1.419 %);  24457.345
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          25.665;           1.960;           2.048;           1.970;           0.014 ( 0.730 %);  30979.454
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.654;           2.549;           2.643;           2.560;           0.016 ( 0.609 %);  23837.343
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          11.139;           2.014;           2.055;           2.023;           0.007 ( 0.346 %);  30174.232
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.688;           2.865;           2.962;           2.881;           0.016 ( 0.543 %);  21188.972
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          21.222;           2.264;           2.336;           2.276;           0.012 ( 0.523 %);  26820.781
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          91.552;           2.480;           2.674;           2.495;           0.033 ( 1.308 %);  24464.474
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.450;           1.962;           1.996;           1.969;           0.007 ( 0.334 %);  30992.801
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          59.366;           2.480;           2.685;           2.495;           0.034 ( 1.382 %);  24460.612
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          22.234;           1.961;           2.008;           1.969;           0.008 ( 0.413 %);  30995.663
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          25.852;           2.478;           2.643;           2.493;           0.027 ( 1.099 %);  24479.638
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          11.412;           1.960;           2.012;           1.969;           0.009 ( 0.446 %);  31000.911
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          48.006;           2.480;           2.673;           2.495;           0.032 ( 1.299 %);  24464.771
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          17.317;           1.961;          18.336;           2.594;           2.859 (110.212 %);  23530.458
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.100;           2.552;           3.245;           2.610;           0.147 ( 5.632 %);  23384.303
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          46.633;           2.014;           2.815;           2.075;           0.165 ( 7.934 %);  29417.111
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.954;           2.551;           4.390;           3.019;           0.711 (23.546 %);  20216.402
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          27.530;           2.014;           2.062;           2.024;           0.009 ( 0.442 %);  30149.390
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.171;           2.554;           2.769;           2.569;           0.036 ( 1.412 %);  23761.135
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          52.951;           2.012;           2.058;           2.022;           0.008 ( 0.389 %);  30181.919
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.676;           2.481;           2.661;           2.495;           0.030 ( 1.213 %);  24462.097
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.901;           1.960;           2.005;           1.971;           0.008 ( 0.410 %);  30961.358
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
